# Logfile created on 2026-09-10 11:36:52 +0200 by logger.rb/v1.5.3
2026-09-10 11:36:53 +0200: Memory Usage (473308K) : ind_drw has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473572K) : ind_pin has 2 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473572K) : ind_text has 2 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473572K) : salblock_drw has 38 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473836K) : via2_drw has 18739 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474100K) : metal3_drw has 465 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474100K) : metal3_pin has 19 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474100K) : metal3_mask has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474100K) : metal3_filler has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474100K) : metal3_nofill has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474100K) : metal3_slit has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474100K) : metal3_text has 19 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474364K) : metal3_opc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474364K) : metal3_noqrc has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474364K) : metal3_res has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474364K) : metal3_iprobe has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474364K) : metal3_diffprb has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474364K) : nwell_drw has 574 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474628K) : nwell_pin has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474628K) : nbulay_drw has 56 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474628K) : nbulay_pin has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474628K) : nbulay_block has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : emwind_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : emwind_opc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : deepco_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : deepco_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : mim_drw has 38 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : edgeseal_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : edgeseal_bound has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : substrate_drw has 288 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : substrate_text has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : dfpad_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : dfpad_pillar has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : dfpad_sbump has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : thickgateox_drw has 2 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : pldb_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : pwell_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : pwell_pin has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : pwell_block has 2 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : ic_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : via3_drw has 20568 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_drw has 155 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_pin has 2 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_mask has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_filler has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_nofill has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_slit has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_text has 2 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_opc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_noqrc has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_res has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_iprobe has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal4_diffprb has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : heattrans_drw has 262 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : heatres_drw has 38 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : pempoly_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : fbe_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : empoly_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : ldmos_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : pbiwind_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : digisub_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : nodrc_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : text_drw has 211 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : via4_drw has 19725 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_drw has 181 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_pin has 22 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_mask has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_filler has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_nofill has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_slit has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_text has 3 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_opc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_noqrc has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_res has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_iprobe has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : metal5_diffprb has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : radhard_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : memcap_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : varicap_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : flash_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : intbondvia_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : intbondmet_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : devbondvia_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : devbondmet_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : devtrench_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : redist_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : graphbot_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : graphtop_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : antvia1_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : antmetal2_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : graphcont_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : siwg_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : siwg_filler has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : siwg_nofill has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : sigrating_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : singrating_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : graphpas_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : emwind3_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : emwihv3_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : redbulay_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : smos_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : graphpad_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : polimide_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : polimide_pin has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_pin has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_esd has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_diode has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_tsv has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_iprobe has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_diffprb has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_pillar has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_sbump has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_otp has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_pdiode has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_mom has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_momf has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : recog_pcm has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : colopen_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : graphmetal1_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (474892K) : graphmetal1_filler has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475156K) : graphmetal1_nofill has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475156K) : graphmetal1_slit has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475156K) : graphmetal1_opc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475156K) : graphmet1l_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475156K) : graphmet1l_filler has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475156K) : graphmet1l_nofill has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475156K) : graphmet1l_slit has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475156K) : graphmet1l_opc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475156K) : extblock_drw has 80 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475420K) : nldd_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475420K) : pldd_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475420K) : next_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475420K) : pext_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475420K) : nexthv_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475420K) : pexthv_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475684K) : graphgate_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475684K) : sinwg_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475684K) : sinwg_filler has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475684K) : sinwg_nofill has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475684K) : mempad_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475684K) : topvia1_drw has 5534 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475948K) : topmetal1_drw has 93 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475948K) : topmetal1_pin has 24 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475948K) : topmetal1_mask has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (475948K) : topmetal1_filler has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476212K) : topmetal1_nofill has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476212K) : topmetal1_slit has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476212K) : topmetal1_text has 5 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476212K) : topmetal1_noqrc has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476212K) : topmetal1_res has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476476K) : topmetal1_iprobe has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476476K) : topmetal1_diffprb has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476476K) : inldpwl_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476476K) : polyres_drw has 38 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476476K) : polyres_pin has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476740K) : vmim_drw has 25189 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476740K) : nbulaycut_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476740K) : antmetal1_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (476740K) : topvia2_drw has 992 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477004K) : topmetal2_drw has 25 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477004K) : topmetal2_pin has 4 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477004K) : topmetal2_mask has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477004K) : topmetal2_filler has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477004K) : topmetal2_nofill has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477268K) : topmetal2_slit has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477268K) : topmetal2_text has 4 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477268K) : topmetal2_noqrc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477268K) : topmetal2_res has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477268K) : topmetal2_iprobe has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477532K) : topmetal2_diffprb has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477532K) : snsring_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477532K) : sensor_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477532K) : snsarms_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477532K) : snscmosvia_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477796K) : colwind_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477796K) : flm_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477796K) : hafniumox_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (477796K) : memvia_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478060K) : thinfilmres_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478060K) : rfmem_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478060K) : norcx_drw has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478060K) : norcx_m2m3 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478060K) : norcx_m2m4 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478324K) : norcx_m2m5 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478324K) : norcx_m2tm1 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478324K) : norcx_m2tm2 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478324K) : norcx_m3m4 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478324K) : norcx_m3m5 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478588K) : norcx_m3tm1 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478588K) : norcx_m3tm2 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478588K) : norcx_m4m5 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478588K) : norcx_m4tm1 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478588K) : norcx_m4tm2 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478852K) : norcx_m5tm1 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478852K) : norcx_m5tm2 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478852K) : norcx_tm1tm2 has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478852K) : norcx_m1sub has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (478852K) : norcx_m2sub has 0 polygons
