# Logfile created on 2026-04-16 20:29:26 +0200 by logger.rb/v1.4.3
2026-04-16 20:29:26 +0200: Memory Usage (435992K) : nwell_pin has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436256K) : nbulay_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436256K) : nbulay_pin has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436256K) : nbulay_block has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436256K) : emwind_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436256K) : emwind_opc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436256K) : deepco_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436520K) : deepco_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436520K) : mim_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436520K) : edgeseal_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436520K) : edgeseal_bound has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436520K) : substrate_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436784K) : substrate_text has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436784K) : dfpad_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436784K) : dfpad_pillar has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436784K) : dfpad_sbump has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (436784K) : thickgateox_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437048K) : pldb_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437048K) : pwell_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437048K) : pwell_pin has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437048K) : pwell_block has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437048K) : ic_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437312K) : via3_drw has 112 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437312K) : metal4_drw has 23 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437312K) : metal4_pin has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437312K) : metal4_mask has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437312K) : metal4_filler has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437312K) : metal4_nofill has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437576K) : metal4_slit has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437576K) : metal4_text has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437576K) : metal4_opc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437576K) : metal4_noqrc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437576K) : metal4_res has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437576K) : metal4_iprobe has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437840K) : metal4_diffprb has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437840K) : heattrans_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437840K) : heatres_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437840K) : pempoly_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (437840K) : fbe_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438104K) : empoly_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438104K) : ldmos_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438104K) : pbiwind_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438104K) : digisub_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438368K) : nodrc_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438368K) : text_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438368K) : via4_drw has 110 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438368K) : metal5_drw has 22 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438368K) : metal5_pin has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438368K) : metal5_mask has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438632K) : metal5_filler has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438632K) : metal5_nofill has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438632K) : metal5_slit has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438632K) : metal5_text has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438632K) : metal5_opc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438632K) : metal5_noqrc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438896K) : metal5_res has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438896K) : metal5_iprobe has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438896K) : metal5_diffprb has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438896K) : radhard_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438896K) : memcap_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (438896K) : varicap_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (439160K) : flash_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (439160K) : intbondvia_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (439160K) : intbondmet_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (439160K) : devbondvia_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (439160K) : devbondmet_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (439424K) : devtrench_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (439424K) : redist_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (439424K) : graphbot_drw has 0 polygons
