# Logfile created on 2026-04-18 15:03:27 +0200 by logger.rb/v1.4.3
2026-04-18 15:03:27 +0200: Memory Usage (436020K) : metal2_opc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436020K) : metal2_noqrc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436020K) : metal2_res has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436020K) : metal2_iprobe has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436020K) : metal2_diffprb has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436020K) : baspoly_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436284K) : baspoly_pin has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436284K) : psd_drw has 47 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436284K) : nldb_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436284K) : digibnd_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436548K) : via1_drw has 12013 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436548K) : backmetal1_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436812K) : backmetal1_pin has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436812K) : backmetal1_mask has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436812K) : backmetal1_filler has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436812K) : backmetal1_nofill has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436812K) : backmetal1_slit has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (436812K) : backmetal1_text has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437076K) : backmetal1_opc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437076K) : backmetal1_noqrc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437076K) : backmetal1_res has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437076K) : backmetal1_iprobe has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437076K) : backmetal1_diffprb has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437340K) : backpassiv_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437340K) : res_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437340K) : sram_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437340K) : trans_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437340K) : ind_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437340K) : ind_pin has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437340K) : ind_text has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437604K) : salblock_drw has 18 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437868K) : via2_drw has 10936 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437868K) : metal3_drw has 117 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437868K) : metal3_pin has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (437868K) : metal3_mask has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438132K) : metal3_filler has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438132K) : metal3_nofill has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438132K) : metal3_slit has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438132K) : metal3_text has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438132K) : metal3_opc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438132K) : metal3_noqrc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438396K) : metal3_res has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438396K) : metal3_iprobe has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438396K) : metal3_diffprb has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438396K) : nwell_drw has 6 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438396K) : nwell_pin has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438660K) : nbulay_drw has 16 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438660K) : nbulay_pin has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438660K) : nbulay_block has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438660K) : emwind_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438660K) : emwind_opc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438660K) : deepco_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438660K) : deepco_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438924K) : mim_drw has 17 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438924K) : edgeseal_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438924K) : edgeseal_bound has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438924K) : substrate_drw has 49 polygons
2026-04-18 15:03:27 +0200: Memory Usage (438924K) : substrate_text has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (439248K) : dfpad_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (439248K) : dfpad_pillar has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (439248K) : dfpad_sbump has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (439248K) : thickgateox_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (439248K) : pldb_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (439512K) : pwell_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (439512K) : pwell_pin has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (439512K) : pwell_block has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (439512K) : ic_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (440040K) : via3_drw has 11361 polygons
2026-04-18 15:03:27 +0200: Memory Usage (440040K) : metal4_drw has 61 polygons
2026-04-18 15:03:27 +0200: Memory Usage (440040K) : metal4_pin has 1 polygons
2026-04-18 15:03:27 +0200: Memory Usage (440040K) : metal4_mask has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (440040K) : metal4_filler has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (440040K) : metal4_nofill has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (440040K) : metal4_slit has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (440040K) : metal4_text has 1 polygons
